STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,NHWA_MALE,NHWA_FEMALE
Missouri,St. Charles County,3,17,5531,2099,3256
Missouri,St. Charles County,3,18,4730,1415,3187
Missouri,St. Charles County,4,0,365051,159012,165473
Missouri,St. Charles County,4,1,23884,10066,9581
Missouri,St. Charles County,4,2,25870,10958,10651
Missouri,St. Charles County,4,3,26867,11646,11334
Missouri,St. Charles County,4,4,25361,11262,10526
Missouri,St. Charles County,4,5,21756,9492,9294
Missouri,St. Charles County,4,6,23609,10344,10282
Missouri,St. Charles County,4,7,24847,10684,10865
Missouri,St. Charles County,4,8,23730,10068,10402
Missouri,St. Charles County,4,9,26112,11458,11812
Missouri,St. Charles County,4,10,28436,12764,13277
Missouri,St. Charles County,4,11,28850,13156,13624
Missouri,St. Charles County,4,12,23420,10682,11149
Missouri,St. Charles County,4,13,19985,8875,9885
Missouri,St. Charles County,4,14,13887,6192,6846
Missouri,St. Charles County,4,15,10039,4393,5103
Missouri,St. Charles County,4,16,7578,3229,4084
Missouri,St. Charles County,4,17,5701,2216,3308
Missouri,St. Charles County,4,18,5119,1527,3450
Missouri,St. Charles County,5,0,368791,160027,166657
Missouri,St. Charles County,5,1,23480,9965,9272
Missouri,St. Charles County,5,2,25854,10830,10666
Missouri,St. Charles County,5,3,26846,11581,11228
Missouri,St. Charles County,5,4,25258,11143,10505
Missouri,St. Charles County,5,5,22405,9682,9553
Missouri,St. Charles County,5,6,23338,10144,10133
Missouri,St. Charles County,5,7,25360,10898,11026
Missouri,St. Charles County,5,8,23680,10013,10271
Missouri,St. Charles County,5,9,25867,11211,11665
Missouri,St. Charles County,5,10,27549,12310,12757
Missouri,St. Charles County,5,11,29275,13355,13770
Missouri,St. Charles County,5,12,24480,11199,11615
Missouri,St. Charles County,5,13,20033,8833,9884
Missouri,St. Charles County,5,14,15413,6852,7626
Missouri,St. Charles County,5,15,10732,4682,5466
Missouri,St. Charles County,5,16,7878,3324,4221
Missouri,St. Charles County,5,17,5871,2347,3343
Missouri,St. Charles County,5,18,5472,1658,3656
Missouri,St. Charles County,6,0,373900,161662,168183
Missouri,St. Charles County,6,1,23274,9805,9152
Missouri,St. Charles County,6,2,26022,10891,10589
Missouri,St. Charles County,6,3,26996,11540,11231
Missouri,St. Charles County,6,4,25337,11051,10528
Missouri,St. Charles County,6,5,23276,10047,9775
Missouri,St. Charles County,6,6,22985,9994,9983
Missouri,St. Charles County,6,7,26195,11224,11361
Missouri,St. Charles County,6,8,24222,10288,10422
Missouri,St. Charles County,6,9,25635,11029,11396
Missouri,St. Charles County,6,10,26736,11837,12330
Missouri,St. Charles County,6,11,29383,13341,13751
Missouri,St. Charles County,6,12,25624,11729,12120
Missouri,St. Charles County,6,13,20469,9046,10048
Missouri,St. Charles County,6,14,16133,7143,7982
Missouri,St. Charles County,6,15,11549,5035,5890
Missouri,St. Charles County,6,16,8198,3449,4360
Missouri,St. Charles County,6,17,6006,2391,3409
Missouri,St. Charles County,6,18,5860,1822,3856
Missouri,St. Charles County,7,0,379493,163582,170148
